analyst_id,series,cntry,year,unemp
018OL,une_rt_a_h Y15-74 PC_ACT T,LT,2011,15.4
018OL,une_rt_a_h Y15-74 PC_ACT T,LT,2012,13.4
018OL,une_rt_a_h Y15-74 PC_ACT T,LT,2013,11.8
018OL,une_rt_a_h Y15-74 PC_ACT T,LU,2004,5.1
018OL,une_rt_a_h Y15-74 PC_ACT T,LU,2005,4.5
018OL,une_rt_a_h Y15-74 PC_ACT T,LU,2006,4.7
018OL,une_rt_a_h Y15-74 PC_ACT T,LU,2007,4.1
018OL,une_rt_a_h Y15-74 PC_ACT T,LU,2008,5.1
018OL,une_rt_a_h Y15-74 PC_ACT T,LU,2009,5.1
018OL,une_rt_a_h Y15-74 PC_ACT T,LU,2010,4.4
018OL,une_rt_a_h Y15-74 PC_ACT T,LU,2011,4.9
018OL,une_rt_a_h Y15-74 PC_ACT T,LU,2012,5.1
018OL,une_rt_a_h Y15-74 PC_ACT T,LU,2013,5.9
018OL,une_rt_a_h Y15-74 PC_ACT T,LV,2004,11.7
018OL,une_rt_a_h Y15-74 PC_ACT T,LV,2005,10
018OL,une_rt_a_h Y15-74 PC_ACT T,LV,2006,7
018OL,une_rt_a_h Y15-74 PC_ACT T,LV,2007,6.1
018OL,une_rt_a_h Y15-74 PC_ACT T,LV,2008,7.7
018OL,une_rt_a_h Y15-74 PC_ACT T,LV,2009,17.5
018OL,une_rt_a_h Y15-74 PC_ACT T,LV,2010,19.5
018OL,une_rt_a_h Y15-74 PC_ACT T,LV,2011,16.2
018OL,une_rt_a_h Y15-74 PC_ACT T,LV,2012,15
018OL,une_rt_a_h Y15-74 PC_ACT T,LV,2013,11.9
018OL,une_rt_a_h Y15-74 PC_ACT T,MT,2004,7.2
018OL,une_rt_a_h Y15-74 PC_ACT T,MT,2005,6.9
018OL,une_rt_a_h Y15-74 PC_ACT T,MT,2006,6.8
018OL,une_rt_a_h Y15-74 PC_ACT T,MT,2007,6.5
018OL,une_rt_a_h Y15-74 PC_ACT T,MT,2008,6
018OL,une_rt_a_h Y15-74 PC_ACT T,MT,2009,6.9
018OL,une_rt_a_h Y15-74 PC_ACT T,MT,2010,6.9
018OL,une_rt_a_h Y15-74 PC_ACT T,MT,2011,6.4
018OL,une_rt_a_h Y15-74 PC_ACT T,MT,2012,6.2
018OL,une_rt_a_h Y15-74 PC_ACT T,MT,2013,6.1
018OL,une_rt_a_h Y15-74 PC_ACT T,NL,2004,4.6
018OL,une_rt_a_h Y15-74 PC_ACT T,NL,2005,5.9
018OL,une_rt_a_h Y15-74 PC_ACT T,NL,2006,5
018OL,une_rt_a_h Y15-74 PC_ACT T,NL,2007,4.2
018OL,une_rt_a_h Y15-74 PC_ACT T,NL,2008,3.7
018OL,une_rt_a_h Y15-74 PC_ACT T,NL,2009,4.4
018OL,une_rt_a_h Y15-74 PC_ACT T,NL,2010,5
