measure,predictor,source,cntry,year,value
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,HU,2010,1.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,HU,2011,1.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,HU,2012,-1.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,HU,2013,2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IE,2004,6.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IE,2005,5.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IE,2006,5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IE,2007,5.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IE,2008,-4.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IE,2009,-5.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IE,2010,1.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IE,2011,1.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IE,2012,-0.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IE,2013,2.2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IT,2004,1.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IT,2005,0.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IT,2006,1.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IT,2007,1.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IT,2008,-1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IT,2009,-5.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IT,2010,1.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IT,2011,0.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IT,2012,-3.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,IT,2013,-1.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LT,2004,6.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LT,2005,7.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LT,2006,7.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LT,2007,11.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LT,2008,2.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LT,2009,-14.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LT,2010,0.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LT,2011,6.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,LT,2012,4.4
