cell,rows,fitted,derived,has_mi,has_beta,bytes
mcomm__unemp__none__fe_twoway__no_GR_ES__pop,732,492,240,TRUE,TRUE,41557
mcomm__unemp__none__fe_twoway__no_bailout__n_cell,732,492,240,TRUE,TRUE,41472
mcomm__unemp__none__fe_twoway__no_bailout__n_eff,732,492,240,TRUE,TRUE,41451
mcomm__unemp__none__fe_twoway__no_bailout__none,732,492,240,TRUE,TRUE,41224
mcomm__unemp__none__fe_twoway__no_bailout__pop,732,492,240,TRUE,TRUE,41701
mcomm__unemp__none__fe_twoway__y2004_2008__n_cell,732,396,240,TRUE,TRUE,33885
mcomm__unemp__none__fe_twoway__y2004_2008__n_eff,732,396,240,TRUE,TRUE,33850
mcomm__unemp__none__fe_twoway__y2004_2008__none,732,396,240,TRUE,TRUE,33493
mcomm__unemp__none__fe_twoway__y2004_2008__pop,732,396,240,TRUE,TRUE,34157
mcomm__unemp__none__fe_twoway__y2009_2013__n_cell,732,492,240,TRUE,TRUE,41202
mcomm__unemp__none__fe_twoway__y2009_2013__n_eff,732,492,240,TRUE,TRUE,41251
mcomm__unemp__none__fe_twoway__y2009_2013__none,732,492,240,TRUE,TRUE,41011
mcomm__unemp__none__fe_twoway__y2009_2013__pop,732,492,240,TRUE,TRUE,41555
mcomm__unemp__none__pooled_cl__all__n_cell,732,492,240,TRUE,TRUE,41362
mcomm__unemp__none__pooled_cl__all__n_eff,732,492,240,TRUE,TRUE,41283
mcomm__unemp__none__pooled_cl__all__none,732,492,240,TRUE,TRUE,41197
mcomm__unemp__none__pooled_cl__all__pop,732,492,240,TRUE,TRUE,41414
mcomm__unemp__none__pooled_cl__no_GR_ES__n_cell,732,492,240,TRUE,TRUE,41270
mcomm__unemp__none__pooled_cl__no_GR_ES__n_eff,732,492,240,TRUE,TRUE,41376
mcomm__unemp__none__pooled_cl__no_GR_ES__none,732,492,240,TRUE,TRUE,41357
mcomm__unemp__none__pooled_cl__no_GR_ES__pop,732,492,240,TRUE,TRUE,41604
mcomm__unemp__none__pooled_cl__no_bailout__n_cell,732,492,240,TRUE,TRUE,41324
mcomm__unemp__none__pooled_cl__no_bailout__n_eff,732,492,240,TRUE,TRUE,41446
mcomm__unemp__none__pooled_cl__no_bailout__none,732,492,240,TRUE,TRUE,41270
mcomm__unemp__none__pooled_cl__no_bailout__pop,732,492,240,TRUE,TRUE,41451
mcomm__unemp__none__pooled_cl__y2004_2008__n_cell,732,396,240,TRUE,TRUE,34163
mcomm__unemp__none__pooled_cl__y2004_2008__n_eff,732,396,240,TRUE,TRUE,34250
mcomm__unemp__none__pooled_cl__y2004_2008__none,732,396,240,TRUE,TRUE,34167
mcomm__unemp__none__pooled_cl__y2004_2008__pop,732,396,240,TRUE,TRUE,34260
mcomm__unemp__none__pooled_cl__y2009_2013__n_cell,732,492,240,TRUE,TRUE,41525
mcomm__unemp__none__pooled_cl__y2009_2013__n_eff,732,492,240,TRUE,TRUE,41602
mcomm__unemp__none__pooled_cl__y2009_2013__none,732,492,240,TRUE,TRUE,41432
mcomm__unemp__none__pooled_cl__y2009_2013__pop,732,492,240,TRUE,TRUE,41488
mcomm__unemp__none__re__all__none,732,492,240,TRUE,TRUE,40979
mcomm__unemp__none__re__no_GR_ES__none,732,492,240,TRUE,TRUE,40982
mcomm__unemp__none__re__no_bailout__none,732,492,240,TRUE,TRUE,40932
mcomm__unemp__none__re__y2004_2008__none,732,396,240,TRUE,TRUE,33654
mcomm__unemp__none__re__y2009_2013__none,732,492,240,TRUE,TRUE,40726
mcomm__unemp__other__fe_country__all__n_cell,732,492,240,TRUE,TRUE,41555
mcomm__unemp__other__fe_country__all__n_eff,732,492,240,TRUE,TRUE,41403
mcomm__unemp__other__fe_country__all__none,732,492,240,TRUE,TRUE,41348
mcomm__unemp__other__fe_country__all__pop,732,492,240,TRUE,TRUE,41502
mcomm__unemp__other__fe_country__no_GR_ES__n_cell,732,492,240,TRUE,TRUE,41610
mcomm__unemp__other__fe_country__no_GR_ES__n_eff,732,492,240,TRUE,TRUE,41465
mcomm__unemp__other__fe_country__no_GR_ES__none,732,492,240,TRUE,TRUE,41410
mcomm__unemp__other__fe_country__no_GR_ES__pop,732,492,240,TRUE,TRUE,41778
mcomm__unemp__other__fe_country__no_bailout__n_cell,732,492,240,TRUE,TRUE,41613
mcomm__unemp__other__fe_country__no_bailout__n_eff,732,492,240,TRUE,TRUE,41530
mcomm__unemp__other__fe_country__no_bailout__none,732,492,240,TRUE,TRUE,41249
mcomm__unemp__other__fe_country__no_bailout__pop,732,492,240,TRUE,TRUE,41757
mcomm__unemp__other__fe_country__y2004_2008__n_cell,732,396,240,TRUE,TRUE,33986
