outcome,predictor,copredictor,estimator,sample,reg_weight,construction,variants,fitted,median_rca,min_rca,max_rca,share_claim,share_sig,share_both
mcomm,growth,none,fe_twoway,no_GR_ES,n_eff,rate,50,50,-0.14278649014445613,-0.26350218995922253,-0.08610916203049673,1,0.52,0.52
mcomm,growth,none,fe_twoway,no_GR_ES,n_eff,share,50,50,-0.14289564937181493,-0.29490240643185706,-0.07613516752308971,1,0.52,0.52
mcomm,growth,none,fe_twoway,no_GR_ES,none,count,48,48,-0.11705044861568968,-0.206864089910251,-0.07488224224377216,1,0.375,0.375
mcomm,growth,none,fe_twoway,no_GR_ES,none,rate,50,50,-0.1301172266223754,-0.2516539857885356,-0.07488224224377216,1,0.4,0.4
mcomm,growth,none,fe_twoway,no_GR_ES,none,share,50,50,-0.1316802939042926,-0.2987573323743262,-0.06915398685319324,1,0.36,0.36
mcomm,growth,none,fe_twoway,no_GR_ES,pop,count,48,48,-0.2276416497127422,-0.3102204235098563,-0.20340458313121468,1,1,1
mcomm,growth,none,fe_twoway,no_GR_ES,pop,rate,50,50,-0.23120390204166552,-0.33912658871726,-0.20340458313121468,1,1,1
mcomm,growth,none,fe_twoway,no_GR_ES,pop,share,50,50,-0.2532286551292925,-0.38356463062866125,-0.19576901250982473,1,1,1
mcomm,growth,none,fe_twoway,no_bailout,n_cell,count,48,48,-0.06533844078187583,-0.13529809788969624,-0.03757587415403007,1,0,0
mcomm,growth,none,fe_twoway,no_bailout,n_cell,rate,50,50,-0.082257680263921,-0.13529809788969624,-0.03757587415403007,1,0,0
mcomm,growth,none,fe_twoway,no_bailout,n_cell,share,50,50,-0.07321506318243429,-0.14416287726380192,-0.01130380500286171,1,0,0
mcomm,growth,none,fe_twoway,no_bailout,n_eff,count,48,48,-0.06455524093222122,-0.13529809788969624,-0.03505494122907864,1,0,0
mcomm,growth,none,fe_twoway,no_bailout,n_eff,rate,50,50,-0.08078405407460623,-0.13529809788969624,-0.03505494122907864,1,0,0
mcomm,growth,none,fe_twoway,no_bailout,n_eff,share,50,50,-0.07321506318243429,-0.13953764830271512,-0.01130380500286171,1,0,0
mcomm,growth,none,fe_twoway,no_bailout,none,count,48,48,-0.02687924099042865,-0.0812653462262939,0.01339763884869643,0.5,0,0
mcomm,growth,none,fe_twoway,no_bailout,none,rate,50,50,-0.0575432720619329,-0.0812653462262939,0.01339763884869643,0.52,0,0
mcomm,growth,none,fe_twoway,no_bailout,none,share,50,50,-0.05719713429965562,-0.10232601744962593,0.04248658751745108,0.52,0,0
mcomm,growth,none,fe_twoway,no_bailout,pop,count,48,48,-0.17010393206462845,-0.22807238543139735,-0.13753698805935488,1,0.7916666666666666,0.7916666666666666
mcomm,growth,none,fe_twoway,no_bailout,pop,rate,50,50,-0.17109496141221717,-0.23838552330120796,-0.13753698805935488,1,0.8,0.8
mcomm,growth,none,fe_twoway,no_bailout,pop,share,50,50,-0.17783773337990572,-0.2813551989684927,-0.13220203271510422,1,0.88,0.88
mcomm,growth,none,fe_twoway,y2004_2008,n_cell,count,48,48,-0.04931414467167627,-0.11343187933275502,-0.00261010279957882,1,0,0
mcomm,growth,none,fe_twoway,y2004_2008,n_cell,rate,50,50,-0.06817130259290988,-0.11343187933275502,-0.00261010279957882,1,0,0
mcomm,growth,none,fe_twoway,y2004_2008,n_cell,share,50,50,-0.033474509306139225,-0.08238414210466864,0.03244838494771172,0.52,0,0
mcomm,growth,none,fe_twoway,y2004_2008,n_eff,count,48,48,-0.04686127752643202,-0.11343187933275502,0.0028111314643271,0.9166666666666666,0,0
mcomm,growth,none,fe_twoway,y2004_2008,n_eff,rate,50,50,-0.06336229998153181,-0.11343187933275502,0.0028111314643271,0.92,0,0
mcomm,growth,none,fe_twoway,y2004_2008,n_eff,share,50,50,-0.030562516668114274,-0.07669200988740646,0.03595239054082374,0.52,0,0
mcomm,growth,none,fe_twoway,y2004_2008,none,count,48,48,-0.040856602056288535,-0.09045434656740052,0.00419653055345719,0.9166666666666666,0,0
mcomm,growth,none,fe_twoway,y2004_2008,none,rate,50,50,-0.05814242376901442,-0.09445857872720737,0.00419653055345719,0.92,0,0
mcomm,growth,none,fe_twoway,y2004_2008,none,share,50,50,-0.040698355893556776,-0.0879668633767381,0.02152144330393204,0.6,0,0
mcomm,growth,none,fe_twoway,y2004_2008,pop,count,48,48,-0.17352874494325632,-0.25249130989019436,-0.1221889214522354,1,0.2916666666666667,0.2916666666666667
mcomm,growth,none,fe_twoway,y2004_2008,pop,rate,50,50,-0.17463665121863825,-0.3038135129527051,-0.1221889214522354,1,0.32,0.32
mcomm,growth,none,fe_twoway,y2004_2008,pop,share,50,50,-0.23279993139395777,-0.3345623359576192,-0.17666049923574065,1,0.76,0.76
mcomm,growth,none,fe_twoway,y2009_2013,n_cell,count,48,48,-0.2439020489541293,-0.3236339463253747,-0.108075899459977,1,0.5833333333333334,0.5833333333333334
mcomm,growth,none,fe_twoway,y2009_2013,n_cell,rate,50,50,-0.28306298242153316,-0.35774504335815527,-0.108075899459977,1,0.6,0.6
mcomm,growth,none,fe_twoway,y2009_2013,n_cell,share,50,50,-0.3275036690150367,-0.4370805138407611,-0.2199957708417681,1,1,1
mcomm,growth,none,fe_twoway,y2009_2013,n_eff,count,48,48,-0.24816319565326922,-0.32784409173648316,-0.11708733880422044,1,0.5833333333333334,0.5833333333333334
mcomm,growth,none,fe_twoway,y2009_2013,n_eff,rate,50,50,-0.2893800124937671,-0.36908694561481226,-0.11708733880422044,1,0.6,0.6
mcomm,growth,none,fe_twoway,y2009_2013,n_eff,share,50,50,-0.3275036690150367,-0.44817779173532085,-0.22282963091369465,1,1,1
mcomm,growth,none,fe_twoway,y2009_2013,none,count,48,48,-0.23816390878913618,-0.3429742070541306,-0.12741600978359963,1,0.6041666666666666,0.6041666666666666
mcomm,growth,none,fe_twoway,y2009_2013,none,rate,50,50,-0.2626864117088036,-0.37606428280848525,-0.12741600978359963,1,0.62,0.62
mcomm,growth,none,fe_twoway,y2009_2013,none,share,50,50,-0.30983374739243497,-0.47287434877235274,-0.21249712611178187,1,1,1
mcomm,growth,none,fe_twoway,y2009_2013,pop,count,48,48,-0.20652014786387934,-0.32742740662519754,-0.10521354499697014,1,0.5,0.5
mcomm,growth,none,fe_twoway,y2009_2013,pop,rate,50,50,-0.21931558318546157,-0.32943351821935163,-0.10521354499697014,1,0.52,0.52
mcomm,growth,none,fe_twoway,y2009_2013,pop,share,50,50,-0.2585508398324222,-0.3880623645490251,-0.1641928078565408,1,0.9,0.9
mcomm,growth,none,pooled_cl,all,n_cell,count,48,48,-0.10471962360786559,-0.13943021800989824,-0.06648682643396134,1,0.4583333333333333,0.4583333333333333
mcomm,growth,none,pooled_cl,all,n_cell,rate,50,50,-0.1120099370946761,-0.13943021800989824,-0.06648682643396134,1,0.46,0.46
mcomm,growth,none,pooled_cl,all,n_cell,share,50,50,-0.18492358071143944,-0.29172006762739083,-0.1459806051733854,1,1,1
mcomm,growth,none,pooled_cl,all,n_eff,count,48,48,-0.10582838593706165,-0.14620756755308725,-0.06648682643396134,1,0.4791666666666667,0.4791666666666667
mcomm,growth,none,pooled_cl,all,n_eff,rate,50,50,-0.11306225596091345,-0.14620756755308725,-0.06648682643396134,1,0.48,0.48
mcomm,growth,none,pooled_cl,all,n_eff,share,50,50,-0.1854984975865807,-0.30199582634118943,-0.1459806051733854,1,1,1
mcomm,growth,none,pooled_cl,all,none,count,48,48,-0.09988949467643818,-0.13595347184408466,-0.06837143402290195,1,0.25,0.25
mcomm,growth,none,pooled_cl,all,none,rate,50,50,-0.10538374074012874,-0.13595347184408466,-0.06837143402290195,1,0.24,0.24
mcomm,growth,none,pooled_cl,all,none,share,50,50,-0.18318097370853992,-0.27541115100514635,-0.13745285585039643,1,1,1
mcomm,growth,none,pooled_cl,all,pop,count,48,48,-0.04254224262990564,-0.07775495486404974,-0.0160279881558484,1,0,0
mcomm,growth,none,pooled_cl,all,pop,rate,50,50,-0.043941776893627715,-0.07775495486404974,-0.0160279881558484,1,0,0
mcomm,growth,none,pooled_cl,all,pop,share,50,50,-0.16569125675182594,-0.285951769283565,-0.08130333991358875,1,0.74,0.74
mcomm,growth,none,pooled_cl,no_GR_ES,n_cell,count,48,48,-0.09567652784788006,-0.12185861079865346,-0.06779104530061722,1,0,0
mcomm,growth,none,pooled_cl,no_GR_ES,n_cell,rate,50,50,-0.10186959059236458,-0.12185861079865346,-0.06779104530061722,1,0,0
mcomm,growth,none,pooled_cl,no_GR_ES,n_cell,share,50,50,-0.17254860678651712,-0.231453314159338,-0.14702613743546436,1,1,1
mcomm,growth,none,pooled_cl,no_GR_ES,n_eff,count,48,48,-0.09678404757710235,-0.12399095828180096,-0.06809609457171899,1,0,0
mcomm,growth,none,pooled_cl,no_GR_ES,n_eff,rate,50,50,-0.10368240355920853,-0.12399095828180096,-0.06809609457171899,1,0,0
mcomm,growth,none,pooled_cl,no_GR_ES,n_eff,share,50,50,-0.17350409210063372,-0.24103959748009457,-0.14702613743546436,1,1,1
mcomm,growth,none,pooled_cl,no_GR_ES,none,count,48,48,-0.09450256214849666,-0.12393873929248664,-0.07106225054158574,1,0,0
mcomm,growth,none,pooled_cl,no_GR_ES,none,rate,50,50,-0.09722327679211457,-0.12393873929248664,-0.07106225054158574,1,0,0
mcomm,growth,none,pooled_cl,no_GR_ES,none,share,50,50,-0.17137902288289636,-0.23976217269170744,-0.13345797814866325,1,1,1
mcomm,growth,none,pooled_cl,no_GR_ES,pop,count,48,48,-0.05655115044023473,-0.09123119546398206,-0.03079357127939501,1,0,0
mcomm,growth,none,pooled_cl,no_GR_ES,pop,rate,50,50,-0.05844246008021173,-0.10730125986643617,-0.03079357127939501,1,0,0
mcomm,growth,none,pooled_cl,no_GR_ES,pop,share,50,50,-0.18910006828457823,-0.28960176093606943,-0.09873092345007582,1,0.76,0.76
mcomm,growth,none,pooled_cl,no_bailout,n_cell,count,48,48,-0.05994533390411511,-0.06759366572466671,-0.04881732501275325,1,0,0
mcomm,growth,none,pooled_cl,no_bailout,n_cell,rate,50,50,-0.06002776853216696,-0.06879255471930033,-0.04881732501275325,1,0,0
mcomm,growth,none,pooled_cl,no_bailout,n_cell,share,50,50,-0.12090004162889423,-0.13847753510513863,-0.10547221845389776,1,0,0
mcomm,growth,none,pooled_cl,no_bailout,n_eff,count,48,48,-0.061078475752563186,-0.07054226404438377,-0.04915694970056749,1,0,0
