outcome,pred_form,copredictor,estimator,sample,reg_weight,r_ca
mcosmo,raw,other,fe_twoway,all,n_cell,-0.1882600096670284
mutil,raw,other,fe_twoway,all,n_cell,-0.13493494390197763
mcomm,raw,other,fe_twoway,all,n_cell,-0.4375641372598221
mlib,raw,other,fe_twoway,all,n_cell,0.04214549169605616
mpos,raw,other,fe_twoway,all,n_cell,-0.23147609005666697
mneg,raw,other,fe_twoway,all,n_cell,-0.3065974341742968
mcosmo,raw,other,fe_country,all,none,-0.4112143906965958
mutil,raw,other,fe_country,all,none,-0.31923465918588145
mcomm,raw,other,fe_country,all,none,-0.522683630488664
mlib,raw,other,fe_country,all,none,-0.3183106498375796
mpos,raw,other,fe_country,all,none,-0.4735268034948999
mneg,raw,other,fe_country,all,none,-0.5329403526010752
mcosmo,raw,other,fe_country,all,n_cell,-0.36638626511509736
mutil,raw,other,fe_country,all,n_cell,-0.34104989642224337
mcomm,raw,other,fe_country,all,n_cell,-0.5179020144759933
mlib,raw,other,fe_country,all,n_cell,-0.2700179164428541
mpos,raw,other,fe_country,all,n_cell,-0.4467753470646224
mneg,raw,other,fe_country,all,n_cell,-0.5068103002808516
mcosmo,raw,other,re,all,none,-0.3569559266188849
mutil,raw,other,re,all,none,-0.2881108520105549
mcomm,raw,other,re,all,none,-0.4660259659740276
mlib,raw,other,re,all,none,-0.2842094029655341
mpos,raw,other,re,all,none,-0.42177392700347704
mneg,raw,other,re,all,none,-0.4742377691163072
mcosmo,raw,other,pooled_cl,all,none,-0.02118993625817356
mutil,raw,other,pooled_cl,all,none,0.01373050850626091
mcomm,raw,other,pooled_cl,all,none,0.03979068045926692
mlib,raw,other,pooled_cl,all,none,0.10395657027594996
mpos,raw,other,pooled_cl,all,none,-0.00973416162920958
mneg,raw,other,pooled_cl,all,none,0.09419034812024447
mcosmo,raw,other,pooled_cl,all,n_cell,0.05087081765309357
mutil,raw,other,pooled_cl,all,n_cell,0.03446414067573298
mcomm,raw,other,pooled_cl,all,n_cell,0.06275913604362332
mlib,raw,other,pooled_cl,all,n_cell,0.16235609931586817
mpos,raw,other,pooled_cl,all,n_cell,0.05367087595406926
mneg,raw,other,pooled_cl,all,n_cell,0.1468180504507006
mcosmo,raw,other,fe_twoway,y2004_2008,none,-0.3549081228054084
mutil,raw,other,fe_twoway,y2004_2008,none,0.0329358164089901
