outcome_build,cell_weight,reg_weight,outcome,pred_form,copredictor,estimator,sample,estimate,se,statistic,df,n,r,positive_outcome,sig,supports_claim,r_ca,p
share,design,pop,mutil,raw,growth,pooled_cl,all,7.603158659775567e-4,7.5905322589726e-4,1.0016634407670215,267,270,0.06118595290741561,TRUE,FALSE,FALSE,0.06118595290741561,0.3174130816802726
share,design,pop,mutil,raw,growth,pooled_cl,y2004_2008,-0.002228138799041452,0.0018592595163190815,-1.1984011804079235,132,135,-0.10374458831655956,TRUE,FALSE,TRUE,-0.10374458831655956,0.23290805556735977
share,design,pop,mutil,raw,growth,pooled_cl,y2009_2013,8.200385044693241e-4,0.0010477593755348386,0.7826591902847233,132,135,0.06796422474107881,TRUE,FALSE,FALSE,0.06796422474107881,0.4352291053501278
share,design,pop,mutil,raw,growth,pooled_cl,no_bailout,0.0011721095715826145,0.0010152336729885136,1.1545219615621198,187,190,0.08412771196302506,TRUE,FALSE,FALSE,0.08412771196302506,0.24975949453289492
share,design,pop,mutil,raw,growth,pooled_cl,no_GR_ES,2.618838395031488e-5,0.001215502660876366,0.021545311905309446,247,250,0.0013708940796937964,TRUE,FALSE,FALSE,0.0013708940796937964,0.9828280528144198
share,design,pop,mutil,log,none,fe_twoway,all,-0.016804875673430798,0.0040312592602092,-4.168641754030654,233,270,-0.2634491857350273,TRUE,TRUE,TRUE,-0.2634491857350273,4.32225250845555e-5
share,design,pop,mutil,log,none,fe_twoway,y2004_2008,-0.010785134401077236,0.008434208514017537,-1.2787369891498999,103,135,-0.1250093190022546,TRUE,FALSE,TRUE,-0.1250093190022546,0.2038633714538651
share,design,pop,mutil,log,none,fe_twoway,y2009_2013,-0.03829090233005304,0.0097719382002619,-3.9184552281579923,103,135,-0.3601827289166039,TRUE,TRUE,TRUE,-0.3601827289166039,1.6059592838866039e-4
share,design,pop,mutil,log,none,fe_twoway,no_bailout,-0.010120557285894005,0.004075736174275105,-2.483123748237706,161,190,-0.19205451146357658,TRUE,TRUE,TRUE,-0.19205451146357658,0.014048316841927781
share,design,pop,mutil,log,none,fe_twoway,no_GR_ES,-0.014292553636479167,0.0040739865569980075,-3.508247618522065,215,250,-0.2326928658645043,TRUE,TRUE,TRUE,-0.2326928658645043,5.491971501489151e-4
share,design,pop,mutil,log,none,fe_country,all,-0.02462305099249876,0.004342051569700397,-5.670833383076968,242,270,-0.34248862147705533,TRUE,TRUE,TRUE,-0.34248862147705533,4.035705623919678e-8
share,design,pop,mutil,log,none,fe_country,y2004_2008,0.003198618433675246,0.0070712181564244565,0.45234333928294745,107,135,0.04368792923082557,TRUE,FALSE,FALSE,0.04368792923082557,0.6519374011509309
share,design,pop,mutil,log,none,fe_country,y2009_2013,-0.05628756330885936,0.0106699673197551,-5.2753266830203644,107,135,-0.45431553463970525,TRUE,TRUE,TRUE,-0.45431553463970525,6.971248031689362e-7
share,design,pop,mutil,log,none,fe_country,no_bailout,-0.012833788248432898,0.0044146041044958485,-2.9071209885758322,170,190,-0.21762219417305126,TRUE,TRUE,TRUE,-0.21762219417305126,0.004134303945659966
share,design,pop,mutil,log,none,fe_country,no_GR_ES,-0.018021054312126927,0.004505267588041289,-3.999996439714642,224,250,-0.25819867525273915,TRUE,TRUE,TRUE,-0.25819867525273915,8.606715532073353e-5
share,design,pop,mutil,log,none,pooled_cl,all,0.0028025844375425546,0.009849749262302058,0.28453358181094873,268,270,0.01737803015358172,TRUE,FALSE,FALSE,0.01737803015358172,0.776221233653681
share,design,pop,mutil,log,none,pooled_cl,y2004_2008,-0.010002577308934946,0.023478632824725284,-0.42602895081698533,133,135,-0.0369162144800578,TRUE,FALSE,TRUE,-0.0369162144800578,0.6707754203717284
share,design,pop,mutil,log,none,pooled_cl,y2009_2013,0.019628669587236303,0.013195548451315734,1.4875220730426797,133,135,0.12792476890820928,TRUE,FALSE,FALSE,0.12792476890820928,0.13924400562988065
share,design,pop,mutil,log,none,pooled_cl,no_bailout,0.0051573842575405315,0.01222999606364456,0.4216995844235474,188,190,0.030741067487453536,TRUE,FALSE,FALSE,0.030741067487453536,0.6737260963749628
share,design,pop,mutil,log,none,pooled_cl,no_GR_ES,-0.004169167358926584,0.012417328002768294,-0.33575398491504116,248,250,-0.021315555319601734,TRUE,FALSE,TRUE,-0.021315555319601734,0.7373402628758552
share,design,pop,mutil,log,growth,fe_twoway,all,-0.009862338186756999,0.004131897412664117,-2.3868787633810284,232,270,-0.15481688909020455,TRUE,TRUE,TRUE,-0.15481688909020455,0.017794483505586902
share,design,pop,mutil,log,growth,fe_twoway,y2004_2008,-0.0076076606783990475,0.009107055182007998,-0.8353590185144402,102,135,-0.08243137483346476,TRUE,FALSE,TRUE,-0.08243137483346476,0.40546806266811763
share,design,pop,mutil,log,growth,fe_twoway,y2009_2013,-0.03527097495014517,0.010428518146887366,-3.3821655630596577,102,135,-0.3175510729917719,TRUE,TRUE,TRUE,-0.3175510729917719,0.00102087216442891
share,design,pop,mutil,log,growth,fe_twoway,no_bailout,-0.0062986783380309256,0.004126351129041176,-1.5264523403500383,160,190,-0.1198074373591355,TRUE,FALSE,TRUE,-0.1198074373591355,0.12887161113397927
share,design,pop,mutil,log,growth,fe_twoway,no_GR_ES,-0.008762395740572932,0.003989664323918276,-2.19627392912277,214,250,-0.14847023911909188,TRUE,TRUE,TRUE,-0.14847023911909188,0.029146350207235393
share,design,pop,mutil,log,growth,fe_country,all,-0.020690417170085077,0.00449288544683315,-4.605151280825311,241,270,-0.28439464476563675,TRUE,TRUE,TRUE,-0.28439464476563675,6.676164415476589e-6
share,design,pop,mutil,log,growth,fe_country,y2004_2008,0.004084620920933462,0.007024951845115495,0.5814446861687076,106,135,0.05638505427276084,TRUE,FALSE,FALSE,0.05638505427276084,0.5621752011431853
share,design,pop,mutil,log,growth,fe_country,y2009_2013,-0.05933751018474956,0.010155542445177959,-5.84286959609175,106,135,-0.4935674292705286,TRUE,TRUE,TRUE,-0.4935674292705286,5.711763161504291e-8
share,design,pop,mutil,log,growth,fe_country,no_bailout,-0.0115304463114481,0.004388062175537053,-2.627685262922897,169,190,-0.19812285916308095,TRUE,TRUE,TRUE,-0.19812285916308095,0.009388012712377356
share,design,pop,mutil,log,growth,fe_country,no_GR_ES,-0.014868959396572505,0.0044149967063299945,-3.3678302353553646,223,250,-0.22000110675299078,TRUE,TRUE,TRUE,-0.22000110675299078,8.923515479258059e-4
