engine,outcome,copredictor,sample,estimator,reg_weight,se,estimate,std_error,statistic,df,n,fmi,m,predictor,construction,item_set,noop,cell_weight,measure,pred_form,family,positive_outcome,p,sig,supports_claim,r,r_ca
mice_pmm,mpos,other,no_bailout,pooled_cl,none,clustered,0.007815005241776382,0.003780838374291661,2.0670032590960785,183.0510727952667,190,0.010702970005104184,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.04014121666904694,TRUE,FALSE,0.15102364306252303,0.15102364306252303
mice_pmm,mneg,other,no_bailout,pooled_cl,none,conventional,-0.00781485143682677,0.0021749002658980636,-3.593199908686318,182.9831249314991,190,0.011064871686187873,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,4.1976524802862406e-4,TRUE,FALSE,-0.25672642873858437,0.25672642873858437
mice_pmm,mneg,other,no_bailout,pooled_cl,none,clustered,-0.00781485143682677,0.0037808176852043266,-2.0669738896453644,183.05078237179282,190,0.01070452822546119,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.04014401882644762,TRUE,FALSE,-0.15102166322407798,0.15102166322407798
mice_pmm,mcosmo,other,no_bailout,pooled_cl,n_cell,conventional,0.0075663273597951,0.0016256251651378393,4.654410821176935,182.87182894078774,190,0.0116465332933152,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,6.223806143790112e-6,TRUE,FALSE,0.32544717365385184,0.32544717365385184
mice_pmm,mcosmo,other,no_bailout,pooled_cl,n_cell,clustered,0.0075663273597951,0.0032166011559651973,2.3522740286787878,183.03062539577408,190,0.010812436143906387,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.01972161063124659,TRUE,FALSE,0.1713005397763054,0.1713005397763054
mice_pmm,mutil,other,no_bailout,pooled_cl,n_cell,conventional,0.0013435354761895096,9.476997833891491e-4,1.41768047195788,182.99925843911984,190,0.010979420547508124,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.15798452330157242,FALSE,FALSE,0.10422738450449169,0.10422738450449169
mice_pmm,mutil,other,no_bailout,pooled_cl,n_cell,clustered,0.0013435354761895096,0.0011370555614489926,1.1815917548280506,183.02526106294368,190,0.01084107381477331,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.23890072363473983,FALSE,FALSE,0.0870085178686214,0.0870085178686214
mice_pmm,mcomm,other,no_bailout,pooled_cl,n_cell,conventional,-0.004344164876976403,0.0012495345412638233,-3.4766264825160906,182.96673100802556,190,0.011151402288077053,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,6.342459390593663e-4,TRUE,FALSE,-0.24893214367945213,0.24893214367945213
mice_pmm,mcomm,other,no_bailout,pooled_cl,n_cell,clustered,-0.004344164876976403,0.0029475245587348878,-1.473835006430267,183.06304426775247,190,0.010638652521537036,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.14224352210737046,FALSE,FALSE,-0.1082896795644427,0.1082896795644427
mice_pmm,mlib,other,no_bailout,pooled_cl,n_cell,conventional,-0.004565596148802675,0.001413829663357921,-3.2292405988704043,182.96784679425923,190,0.011145522453079771,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.0014713835706590536,TRUE,FALSE,-0.23220781827792636,0.23220781827792636
mice_pmm,mlib,other,no_bailout,pooled_cl,n_cell,clustered,-0.004565596148802675,0.0015749463634956971,-2.898889927063315,182.99060063962744,190,0.01102531316784369,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.004202965393129269,TRUE,FALSE,-0.20954021262452055,0.20954021262452055
mice_pmm,mpos,other,no_bailout,pooled_cl,n_cell,conventional,0.00890986283598461,0.0021815712218520443,4.084149417968846,182.9518751274303,190,0.011229556357544723,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,6.608015959999929e-5,TRUE,FALSE,0.28905892188187904,0.28905892188187904
mice_pmm,mpos,other,no_bailout,pooled_cl,n_cell,clustered,0.00890986283598461,0.0036663957326354547,2.430142157507935,183.03757318178577,190,0.010775295541770452,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.01605803498018656,TRUE,FALSE,0.17679341610679383,0.17679341610679383
mice_pmm,mneg,other,no_bailout,pooled_cl,n_cell,conventional,-0.00890976102577899,0.002181542854374363,-4.08415585690348,182.95132531385627,190,0.011232444142854747,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,6.607855665481935e-5,TRUE,FALSE,-0.2890597375794484,0.2890597375794484
mice_pmm,mneg,other,no_bailout,pooled_cl,n_cell,clustered,-0.00890976102577899,0.0036663622965044,-2.4301365509550914,183.03738242597723,190,0.010776316009765015,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.016058276444621065,TRUE,FALSE,-0.17679311022193872,0.17679311022193872
