cntry,year,w_mcosmo,w_mutil,w_mcomm,w_mlib,w_mpos,w_mneg,c_mcosmo,c_mutil,c_mcomm,c_mlib,c_mpos,c_mneg,wc_mcosmo,wc_mutil,wc_mcomm,wc_mlib,wc_mpos,wc_mneg,n_cy,mean_items,n_eff,deff,n_noop,n_dk,n_other,n_blank,noop_rate,pop_total,pop_15plus
FR,2007,0.5676192906110665,0.05843768334331508,0.2190436936864625,0.13177553022499885,0.6260569739543816,0.35081922391146136,2.0365251727541955,0.2211253701875617,0.788746298124383,0.49654491609081935,2.2576505429417573,1.2852912142152024,2.0215535150807082,0.2203283417217876,0.7854727470250479,0.4909846451059453,2.241881856802496,1.2764573921309932,1013,3.5429417571569597,969.6010937208362,1.0447595475708684,24,9,4,11,0.023692003948667325,64016890,52211410
FR,2008,0.5920433913312181,0.05262601681671628,0.18102433158167405,0.1376727995221866,0.6446694081479345,0.31869713110386066,1.6105466860183841,0.16158684083212385,0.5505563618771165,0.3957426221577165,1.772133526850508,0.9462989840348331,1.6411579384818873,0.16150335679566677,0.533237623010342,0.3905680742292819,1.802661295277554,0.9238056972396239,2067,2.718432510885341,1954.194609320407,1.0577247476487628,77,36,4,37,0.03725205611998065,64375116,52492286
FR,2009,0.5555367845198693,0.0532459753354363,0.18676006173465387,0.17000158386844824,0.6087827598553057,0.35676164560310214,1.68955223880597,0.18606965174129353,0.5761194029850746,0.4855721393034826,1.8756218905472637,1.0616915422885571,1.6796922240186778,0.17759835113044858,0.566167368339042,0.480167386448428,1.8572905751491264,1.04633475478747,1005,2.937313432835821,949.3242294624646,1.0586477926188196,32,13,0,19,0.031840796019900496,64706436,52730815
FR,2010,0.5542031897280301,0.04504404314785533,0.19070922384850902,0.170801062178194,0.5992472328758854,0.361510286026703,1.5500972762645915,0.14396887159533073,0.5890077821011673,0.48297665369649806,1.6940661478599222,1.0719844357976653,1.5567259556960442,0.14252241547489145,0.5647890821091328,0.47261337114783236,1.6992483711709356,1.037402453256965,2056,2.7660505836575875,1905.3539404452763,1.07906460650535,82,37,6,39,0.03988326848249027,65026211,52976120
FR,2011,0.5128359457555323,0.05120286533270687,0.20042845296815073,0.19632285179454878,0.5640388110882391,0.3967513047626995,1.4388699464198733,0.14905017048222113,0.6234778373112518,0.5577204091573308,1.5879201169020944,1.1811982464685826,1.4548671743918973,0.15039925471025284,0.5993275597342854,0.5364127095555081,1.6052664291021501,1.1357402692897938,2053,2.769118363370677,1917.3129377891216,1.0707693874779465,83,34,5,44,0.04042864101315149,65340830,53224521
FR,2012,0.5328729704207518,0.05498337249281499,0.2035606318929539,0.1834581851588202,0.5878563429135667,0.3870188170517741,1.426302729528536,0.15086848635235733,0.5910669975186105,0.47990074441687347,1.5771712158808933,1.070967741935484,1.4250834701597022,0.1524036325753626,0.5738778196302731,0.4659845055864904,1.577487102735065,1.0398623252167636,2015,2.648138957816377,1862.6931009560114,1.0817670387922833,53,31,3,19,0.02630272952853598,65657659,53488208
FR,2013,0.5006235253077606,0.047568579810544485,0.21502631596792338,0.18694115783973608,0.548192105118305,0.40196747380765946,1.3994111874386654,0.1491658488714426,0.6506378802747792,0.5515210991167812,1.548577036310108,1.2021589793915604,1.4244992758545632,0.149679654702647,0.6375439624680886,0.5383975688968593,1.5741789305572103,1.1759415313649477,1019,2.7507360157016683,928.9884194457777,1.096892037263416,50,20,5,25,0.04906771344455348,65997932,53825137
GB,2004,0.38111408305229555,0.08315580200327721,0.2109201296647459,0.1837172694101044,0.46426988505557276,0.3946373990748503,1.2144741801733887,0.29325292122125896,0.6720693554466641,0.5284583490388239,1.5077271013946476,1.200527704485488,1.2230123163639457,0.29849324852716674,0.6647180064793845,0.5314290179313681,1.5215055648911124,1.1961470244107528,2653,2.7082548058801357,2360.1600095167664,1.1240763292753153,366,262,45,59,0.13795702977761026,59987905,48984300
GB,2005,0.37450291370654876,0.07469896166730858,0.2169199952788604,0.19130245682622904,0.44920187537385736,0.4082224521050894,1.0877390326209224,0.24334458192725908,0.67679040119985,0.5508061492313461,1.3310836145481815,1.227596550431196,1.1120641219311518,0.24985860611968844,0.6690715071763307,0.5319693064134249,1.3619227280508404,1.2010408135897557,2667,2.5586801649793776,2349.6087276260187,1.1350826070069397,395,304,41,50,0.14810648668916385,60401206,49421491
GB,2006,0.38521278615268956,0.08010981981674054,0.20272776969213235,0.19822341497387155,0.4653226059694301,0.400951184666004,1.0617378048780488,0.22484756097560976,0.6425304878048781,0.5403963414634146,1.2865853658536586,1.1829268292682926,1.0928728465271664,0.24241149551873079,0.618110991543864,0.5170384114725004,1.335284342045897,1.1351494030163645,1312,2.4695121951219514,1189.8458769879858,1.1026638200581398,179,130,24,25,0.1364329268292683,60846820,49882841
GB,2007,0.39012391482837955,0.07479901270804352,0.22323149120113547,0.176148152950754,0.46492292753642306,0.39937964415188953,1.059893858984079,0.22971948445792267,0.6876421531463229,0.49583017437452614,1.2896133434420016,1.1834723275208492,1.0969334386955742,0.24009361298148127,0.6732603232542467,0.48319942053294557,1.3370270516770555,1.1564597437871922,1319,2.473085670962851,1170.5499875048033,1.1268207373284753,188,142,13,33,0.1425322213798332,61322463,50348994
GB,2008,0.34513356602361184,0.07335256554391795,0.22172532481745313,0.1914839836384816,0.4184861315675298,0.41320930845593473,0.8358837031369548,0.17674062739097168,0.6250956388676359,0.46901300688599845,1.0126243305279266,1.0941086457536342,0.8638943922721292,0.18603777868086438,0.606316852334361,0.4538740100843991,1.0499321709529936,1.06019086241876,2614,2.106732976281561,2324.1677453289494,1.1247036730690148,451,376,35,40,0.17253251721499618,61806995,50790875
GB,2009,0.365421658423689,0.06241006838676776,0.2046301518375193,0.21212340422003445,0.42783172681045684,0.4167535560575537,0.9508320726172466,0.18532526475037822,0.5915279878971256,0.5325264750378215,1.1361573373676248,1.1240544629349472,0.9780021005995824,0.1927159799501287,0.5777045976050744,0.5148231453245018,1.170718080549711,1.092527742929576,1322,2.2602118003025717,1237.8408732412797,1.0679886474732008,206,160,24,22,0.15582450832072617,62276270,51198972
GB,2010,0.3360692121131187,0.056004570165719775,0.2209408505493177,0.23411822718341269,0.3920737822788385,0.45505907773273035,0.849388379204893,0.15252293577981652,0.6219418960244648,0.5795107033639144,1.0019113149847094,1.2014525993883791,0.8764358712107718,0.16064850117407917,0.593968381437424,0.5498663306635654,1.0370843723848508,1.1438347121009893,2616,2.2033639143730888,2345.428268993303,1.1153613327611298,406,325,42,39,0.1551987767584098,62766365,51619966
GB,2011,0.3171613068058174,0.058016520240890476,0.21677518359849415,0.254312445968306,0.3751778270467078,0.47108762956680017,0.7367417016405952,0.14765356734070964,0.5909958031285769,0.5860358641739793,0.8843952689813048,1.1770316673025563,0.7650568039393241,0.15010813820599164,0.5629514072846609,0.5550229000573751,0.9151649421453159,1.1179743073420358,2621,2.061426936283861,2410.5463066465286,1.0873053932932935,391,302,44,45,0.1491797024036627,63258810,52033754
GB,2012,0.3114804428536777,0.0549278225526666,0.23128072334635322,0.24237636662839915,0.3664082654063443,0.47365708997475237,0.7631276351092372,0.13760061326178613,0.6519739363740897,0.5990801073208126,0.9007282483710234,1.2510540436949023,0.7865117602362177,0.14401453379482007,0.6263419668116074,0.5689858743672627,0.9305262940310378,1.19532784117887,2609,2.1517822920659255,2254.412044568356,1.1572862229360275,412,324,51,37,0.15791490992717516,63711000,52392616
GB,2013,0.3585544634048658,0.06062947187245176,0.21874977284195551,0.22768179715620177,0.4191839352773176,0.44643156999815725,0.8812260536398467,0.17777777777777778,0.6436781609195402,0.5754789272030651,1.0590038314176244,1.2191570881226053,0.9207142370005846,0.18130507179687985,0.6228825112011409,0.539593456250225,1.1020193087974646,1.162475967451366,1305,2.27816091954023,1145.543305312741,1.139197439282949,180,136,26,18,0.13793103448275862,64138000,52719999
GR,2004,0.5477668133314595,0.1439606716071368,0.2146192777844439,0.05080454858794916,0.6917274849385964,0.26542382637239303,1.8763092269326684,0.4972568578553616,0.6733167082294265,0.1915211970074813,2.3735660847880298,0.8648379052369077,1.8527650816302466,0.500429611876789,0.6795017593503364,0.19456396062838596,2.3531946935070356,0.8740657199787224,2005,3.2384039900249375,1914.0349891232888,1.0475252601930631,89,30,10,49,0.044389027431421445,10955141,9290376
GR,2005,0.5514299474615669,0.10437190116171269,0.26015111942906405,0.0697034275728571,0.6558018486232796,0.32985454700192113,1.81,0.37,0.8565,0.2575,2.18,1.114,1.8270166372400745,0.36483003127315955,0.8783953029105674,0.26203709992131546,2.191846668513234,1.1404324028318829,2000,3.294,1809.8356391856316,1.105072724117609,30,12,2,16,0.015,10987314,9339362
GR,2006,0.5685918126557811,0.08233928273998001,0.2628960708828988,0.07381413310340507,0.6509310953957611,0.33671020398630386,1.855,0.306,0.872,0.254,2.161,1.126,1.8999719849985992,0.31019265550963276,0.8700423435021171,0.26278095313904765,2.210164640508232,1.1328232966411647,1000,3.287,891.7094094561305,1.1214415698606544,14,2,3,9,0.014,11020362,9386202
GR,2007,0.5947108150560046,0.09338204561455692,0.23643037101893233,0.06560045152076759,0.6880928606705615,0.30203082253969993,1.97,0.332,0.8,0.232,2.302,1.032,2.0157460267682454,0.34329238359705216,0.8000737601253922,0.22821788797040957,2.3590384103652977,1.0282916480958018,1000,3.334,935.0208605125889,1.0694948553894175,11,0,1,10,0.011,11048473,9425044
