construction,item_set,noop,cell_weight,cntry,year,n_cell,n_eff_cell,outcome,value
count,all,drop,design,HU,2012,1876,1769.1057766785887,mcomm,0.6491474013358944
count,all,drop,design,HU,2013,951,873.1101199831022,mcomm,0.49260814377285783
count,all,drop,design,IE,2004,1784,1629.7281408915937,mcomm,0.4289927616606054
count,all,drop,design,IE,2005,1870,1715.2450544483686,mcomm,0.4802628807050454
count,all,drop,design,IE,2006,948,874.7008410266484,mcomm,0.4604610386603929
count,all,drop,design,IE,2007,937,874.8580602591254,mcomm,0.5028034243703674
count,all,drop,design,IE,2008,1825,1646.131004707583,mcomm,0.4596470853083368
count,all,drop,design,IE,2009,931,856.9728887000066,mcomm,0.5900949669520353
count,all,drop,design,IE,2010,1850,1639.7512331160656,mcomm,0.517603559158467
count,all,drop,design,IE,2011,1837,1689.090071136746,mcomm,0.5469569088752093
count,all,drop,design,IE,2012,1810,1569.2686231336354,mcomm,0.4732978061993921
count,all,drop,design,IE,2013,907,816.6906639369572,mcomm,0.4562278466204684
count,all,drop,design,IT,2004,1884,1624.8331889596172,mcomm,0.42362910699924344
count,all,drop,design,IT,2005,1872,1545.1360523322242,mcomm,0.4644422119304922
count,all,drop,design,IT,2006,898,692.7593183078146,mcomm,0.3548952636599392
count,all,drop,design,IT,2007,932,768.7795845924655,mcomm,0.49366516133051286
count,all,drop,design,IT,2008,1856,1553.891859553869,mcomm,0.4766232482651146
count,all,drop,design,IT,2009,991,955.0299137157568,mcomm,0.48466466712523015
count,all,drop,design,IT,2010,1867,1804.4797358488572,mcomm,0.48766805890555215
count,all,drop,design,IT,2011,1887,1781.4731110418452,mcomm,0.5088060352703827
count,all,drop,design,IT,2012,1849,1746.6492000413252,mcomm,0.5285590097593755
count,all,drop,design,IT,2013,918,895.0974491383067,mcomm,0.5339582018870449
count,all,drop,design,LT,2004,923,862.2693071149199,mcomm,0.33335674055503267
count,all,drop,design,LT,2005,1826,1668.1937338532941,mcomm,0.3034131465693318
count,all,drop,design,LT,2006,919,833.8720875861208,mcomm,0.27990806471284324
count,all,drop,design,LT,2007,965,917.5635646604466,mcomm,0.25655399000762474
